strategy,symbol,ts,realized_R,entries_filled,atr_pct,F5b,F5,F3,abtr,trend_strong,riskoff_z,btc_up,btc_ema55_up,btc_r3_panel,breadth_panel,btc_r3_native,breadth_native,btc_z_native
meanrev,DEMO8USDT,2025-12-19T00:00:00+00:00,0.0371,1,0.02749,0.0,1.0,1.0,0.924878,0.0,-0.668336,0.0,0.0,-0.010652,0.081818,-0.010652,0.081818,-1.5735
breakout,DEMO30USDT,2025-12-19T00:00:00+00:00,0.5146,1,0.02171,0.0,1.0,1.0,0.924878,0.0,-0.668336,0.0,0.0,-0.010652,0.081818,-0.010652,0.081818,-0.5425
breakout,DEMO0USDT,2025-12-19T00:00:00+00:00,-0.6969,1,0.03362,0.0,1.0,1.0,0.924878,0.0,-0.668336,0.0,0.0,-0.010652,0.081818,-0.010652,0.081818,-0.5082
meanrev,DEMO13USDT,2025-12-19T04:00:00+00:00,0.6799,1,0.03848,0.0,0.0,0.0,0.826856,0.0,-2.020853,1.0,0.0,0.011946,0.015909,0.011946,0.015909,1.4922
meanrev,DEMO24USDT,2025-12-19T04:00:00+00:00,-1.2584,1,0.0136,0.0,0.0,0.0,0.826856,0.0,-2.020853,1.0,0.0,0.011946,0.015909,0.011946,0.015909,-1.0037
meanrev,DEMO11USDT,2025-12-19T04:00:00+00:00,-0.5766,1,0.03362,0.0,0.0,0.0,0.826856,0.0,-2.020853,1.0,0.0,0.011946,0.015909,0.011946,0.015909,-1.5182
reversal,DEMO3USDT,2025-12-19T08:00:00+00:00,1.492,1,0.01996,0.0,0.0,0.0,1.259057,1.0,-2.553967,1.0,0.0,0.022624,0.002273,0.022624,0.002273,-2.3513
meanrev,DEMO14USDT,2025-12-19T08:00:00+00:00,-0.9922,1,0.04507,0.0,0.0,0.0,1.259057,1.0,-2.553967,1.0,0.0,0.022624,0.002273,0.022624,0.002273,1.3247
meanrev,DEMO23USDT,2025-12-19T08:00:00+00:00,0.3903,1,0.02927,0.0,0.0,0.0,1.259057,1.0,-2.553967,1.0,0.0,0.022624,0.002273,0.022624,0.002273,1.5422
meanrev,DEMO37USDT,2025-12-19T08:00:00+00:00,-1.818,1,0.05133,0.0,0.0,0.0,1.259057,1.0,-2.553967,1.0,0.0,0.022624,0.002273,0.022624,0.002273,-0.4535
reversal,DEMO21USDT,2025-12-19T12:00:00+00:00,0.6729,1,0.01135,0.0,1.0,0.0,1.085873,1.0,-1.075977,1.0,1.0,0.01093,0.004545,0.01093,0.004545,-0.0099
reversal,DEMO22USDT,2025-12-19T12:00:00+00:00,0.1085,1,0.03408,0.0,1.0,0.0,1.085873,1.0,-1.075977,1.0,1.0,0.01093,0.004545,0.01093,0.004545,0.5461
breakout,DEMO20USDT,2025-12-19T12:00:00+00:00,-1.7014,1,0.05483,0.0,1.0,0.0,1.085873,1.0,-1.075977,1.0,1.0,0.01093,0.004545,0.01093,0.004545,0.3842
reversal,DEMO2USDT,2025-12-19T16:00:00+00:00,0.8835,1,0.02929,0.0,1.0,1.0,0.753999,0.0,-1.307081,0.0,0.0,-0.000122,0.006818,-0.000122,0.006818,0.2682
reversal,DEMO31USDT,2025-12-19T16:00:00+00:00,0.594,1,0.00957,0.0,1.0,1.0,0.753999,0.0,-1.307081,0.0,0.0,-0.000122,0.006818,-0.000122,0.006818,0.9705
reversal,DEMO6USDT,2025-12-19T16:00:00+00:00,-3.0416,1,0.02146,0.0,1.0,1.0,0.753999,0.0,-1.307081,0.0,0.0,-0.000122,0.006818,-0.000122,0.006818,-0.0175
meanrev,DEMO29USDT,2025-12-19T16:00:00+00:00,0.4377,1,0.02248,0.0,1.0,1.0,0.753999,0.0,-1.307081,0.0,0.0,-0.000122,0.006818,-0.000122,0.006818,0.1366
meanrev,DEMO14USDT,2025-12-19T16:00:00+00:00,0.7199,1,0.00838,0.0,1.0,1.0,0.753999,0.0,-1.307081,0.0,0.0,-0.000122,0.006818,-0.000122,0.006818,1.003
breakout,DEMO34USDT,2025-12-19T16:00:00+00:00,0.115,1,0.02316,0.0,1.0,1.0,0.753999,0.0,-1.307081,0.0,0.0,-0.000122,0.006818,-0.000122,0.006818,1.2712
breakout,DEMO26USDT,2025-12-19T16:00:00+00:00,-0.4165,1,0.02735,0.0,1.0,1.0,0.753999,0.0,-1.307081,0.0,0.0,-0.000122,0.006818,-0.000122,0.006818,0.8601
reversal,DEMO5USDT,2025-12-19T20:00:00+00:00,0.717,1,0.01338,0.0,0.0,0.0,0.353103,0.0,-2.265872,1.0,0.0,0.003131,0.004545,0.003131,0.004545,-0.2623
reversal,DEMO1USDT,2025-12-19T20:00:00+00:00,-0.2022,1,0.04189,0.0,0.0,0.0,0.353103,0.0,-2.265872,1.0,0.0,0.003131,0.004545,0.003131,0.004545,1.2454
reversal,DEMO31USDT,2025-12-19T20:00:00+00:00,0.7713,1,0.02551,0.0,0.0,0.0,0.353103,0.0,-2.265872,1.0,0.0,0.003131,0.004545,0.003131,0.004545,0.4959
meanrev,DEMO1USDT,2025-12-19T20:00:00+00:00,-0.9422,1,0.00844,0.0,0.0,0.0,0.353103,0.0,-2.265872,1.0,0.0,0.003131,0.004545,0.003131,0.004545,-1.0572
breakout,DEMO34USDT,2025-12-19T20:00:00+00:00,-0.8243,1,0.02159,0.0,0.0,0.0,0.353103,0.0,-2.265872,1.0,0.0,0.003131,0.004545,0.003131,0.004545,-0.3132
breakout,DEMO36USDT,2025-12-19T20:00:00+00:00,-1.3186,1,0.02395,0.0,0.0,0.0,0.353103,0.0,-2.265872,1.0,0.0,0.003131,0.004545,0.003131,0.004545,-0.3749
reversal,DEMO28USDT,2025-12-20T00:00:00+00:00,0.6421,1,0.01119,0.0,0.0,0.0,0.2235,0.0,-1.212909,1.0,0.0,0.003116,0.0,0.003116,0.0,-0.1206
reversal,DEMO5USDT,2025-12-20T00:00:00+00:00,-1.3229,1,0.02281,0.0,0.0,0.0,0.2235,0.0,-1.212909,1.0,0.0,0.003116,0.0,0.003116,0.0,-0.5746
reversal,DEMO9USDT,2025-12-20T00:00:00+00:00,0.8751,1,0.01139,0.0,0.0,0.0,0.2235,0.0,-1.212909,1.0,0.0,0.003116,0.0,0.003116,0.0,1.0937
reversal,DEMO12USDT,2025-12-20T04:00:00+00:00,-0.0038,1,0.02695,0.0,0.0,0.0,2.19622,1.0,-1.218694,1.0,1.0,0.011324,0.0,0.011324,0.0,-1.1455
meanrev,DEMO9USDT,2025-12-20T04:00:00+00:00,0.491,1,0.03228,0.0,0.0,0.0,2.19622,1.0,-1.218694,1.0,1.0,0.011324,0.0,0.011324,0.0,0.3436
meanrev,DEMO2USDT,2025-12-20T04:00:00+00:00,0.8289,1,0.01927,0.0,0.0,0.0,2.19622,1.0,-1.218694,1.0,1.0,0.011324,0.0,0.011324,0.0,0.7857
breakout,DEMO0USDT,2025-12-20T04:00:00+00:00,-2.4122,1,0.01368,0.0,0.0,0.0,2.19622,1.0,-1.218694,1.0,1.0,0.011324,0.0,0.011324,0.0,0.4107
reversal,DEMO19USDT,2025-12-20T08:00:00+00:00,0.7665,1,0.02178,0.0,0.0,0.0,1.356257,1.0,-1.729527,1.0,1.0,0.01413,0.004545,0.01413,0.004545,0.287
reversal,DEMO0USDT,2025-12-20T08:00:00+00:00,1.3437,1,0.02252,0.0,0.0,0.0,1.356257,1.0,-1.729527,1.0,1.0,0.01413,0.004545,0.01413,0.004545,0.7255
reversal,DEMO8USDT,2025-12-20T08:00:00+00:00,-0.3106,1,0.03422,0.0,0.0,0.0,1.356257,1.0,-1.729527,1.0,1.0,0.01413,0.004545,0.01413,0.004545,-0.1746
breakout,DEMO11USDT,2025-12-20T12:00:00+00:00,-0.4287,1,0.01917,1.0,1.0,0.0,0.467322,0.0,0.257256,1.0,1.0,0.015002,0.002273,0.015002,0.002273,-0.3054
reversal,DEMO3USDT,2025-12-20T16:00:00+00:00,0.3461,1,0.05199,1.0,0.0,0.0,0.271534,0.0,0.401898,1.0,0.0,0.010818,0.004545,0.010818,0.004545,0.7865
meanrev,DEMO9USDT,2025-12-20T20:00:00+00:00,0.1515,1,0.00741,0.0,0.0,0.0,0.443441,0.0,-1.06818,1.0,1.0,0.025745,0.004545,0.025745,0.004545,-0.3665
meanrev,DEMO4USDT,2025-12-20T20:00:00+00:00,-1.1532,1,0.01939,0.0,0.0,0.0,0.443441,0.0,-1.06818,1.0,1.0,0.025745,0.004545,0.025745,0.004545,-0.5024
breakout,DEMO32USDT,2025-12-20T20:00:00+00:00,-0.0649,1,0.00604,0.0,0.0,0.0,0.443441,0.0,-1.06818,1.0,1.0,0.025745,0.004545,0.025745,0.004545,0.2062
meanrev,DEMO4USDT,2025-12-21T00:00:00+00:00,1.1668,1,0.02296,0.0,0.0,0.0,0.225407,0.0,-1.562869,1.0,1.0,0.024584,0.004545,0.024584,0.004545,-0.395
breakout,DEMO19USDT,2025-12-21T00:00:00+00:00,-1.4078,1,0.00614,0.0,0.0,0.0,0.225407,0.0,-1.562869,1.0,1.0,0.024584,0.004545,0.024584,0.004545,0.5497
meanrev,DEMO4USDT,2025-12-21T04:00:00+00:00,1.4519,1,0.03688,1.0,0.0,0.0,0.289016,0.0,0.311561,1.0,0.0,0.016958,0.004545,0.016958,0.004545,-1.5651
meanrev,DEMO33USDT,2025-12-21T04:00:00+00:00,-0.9095,1,0.01491,1.0,0.0,0.0,0.289016,0.0,0.311561,1.0,0.0,0.016958,0.004545,0.016958,0.004545,-0.9367
meanrev,DEMO16USDT,2025-12-21T04:00:00+00:00,-0.154,1,0.03478,1.0,0.0,0.0,0.289016,0.0,0.311561,1.0,0.0,0.016958,0.004545,0.016958,0.004545,0.9305
breakout,DEMO7USDT,2025-12-21T04:00:00+00:00,-1.0952,1,0.01055,1.0,0.0,0.0,0.289016,0.0,0.311561,1.0,0.0,0.016958,0.004545,0.016958,0.004545,0.2004
breakout,DEMO8USDT,2025-12-21T04:00:00+00:00,0.6487,1,0.02482,1.0,0.0,0.0,0.289016,0.0,0.311561,1.0,0.0,0.016958,0.004545,0.016958,0.004545,-0.5842
reversal,DEMO16USDT,2025-12-21T08:00:00+00:00,0.5074,1,0.005,0.0,0.0,0.0,0.608366,0.0,-1.808177,1.0,0.0,0.015569,0.0,0.015569,0.0,1.5324
reversal,DEMO12USDT,2025-12-21T08:00:00+00:00,-0.935,1,0.02019,0.0,0.0,0.0,0.608366,0.0,-1.808177,1.0,0.0,0.015569,0.0,0.015569,0.0,-1.0935
meanrev,DEMO10USDT,2025-12-21T08:00:00+00:00,0.6576,1,0.0239,0.0,0.0,0.0,0.608366,0.0,-1.808177,1.0,0.0,0.015569,0.0,0.015569,0.0,0.8579
meanrev,DEMO21USDT,2025-12-21T08:00:00+00:00,-0.433,1,0.02249,0.0,0.0,0.0,0.608366,0.0,-1.808177,1.0,0.0,0.015569,0.0,0.015569,0.0,-0.9387
meanrev,DEMO13USDT,2025-12-21T08:00:00+00:00,-0.6353,1,0.02953,0.0,0.0,0.0,0.608366,0.0,-1.808177,1.0,0.0,0.015569,0.0,0.015569,0.0,-0.0861
breakout,DEMO14USDT,2025-12-21T08:00:00+00:00,-1.2778,1,0.01121,0.0,0.0,0.0,0.608366,0.0,-1.808177,1.0,0.0,0.015569,0.0,0.015569,0.0,-2.3646
meanrev,DEMO36USDT,2025-12-21T12:00:00+00:00,-0.5815,1,0.02015,0.0,0.0,0.0,0.531422,0.0,-0.806083,1.0,1.0,0.014925,0.002273,0.014925,0.002273,0.5536
meanrev,DEMO16USDT,2025-12-21T12:00:00+00:00,-1.9054,1,0.02648,0.0,0.0,0.0,0.531422,0.0,-0.806083,1.0,1.0,0.014925,0.002273,0.014925,0.002273,-0.3213
breakout,DEMO14USDT,2025-12-21T16:00:00+00:00,-0.3552,1,0.0099,1.0,0.0,0.0,0.946635,0.0,0.945745,0.0,0.0,-0.005155,0.015909,-0.005155,0.015909,0.0064
meanrev,DEMO1USDT,2025-12-21T20:00:00+00:00,-0.6959,1,0.00667,0.0,0.0,0.0,0.5204,0.0,-2.534735,1.0,1.0,0.047381,0.013636,0.047381,0.013636,-0.4016
meanrev,DEMO8USDT,2025-12-21T20:00:00+00:00,-0.3219,1,0.03222,0.0,0.0,0.0,0.5204,0.0,-2.534735,1.0,1.0,0.047381,0.013636,0.047381,0.013636,0.518
breakout,DEMO26USDT,2025-12-21T20:00:00+00:00,1.1133,1,0.01483,0.0,0.0,0.0,0.5204,0.0,-2.534735,1.0,1.0,0.047381,0.013636,0.047381,0.013636,-0.6244
breakout,DEMO2USDT,2025-12-21T20:00:00+00:00,1.582,1,0.03447,0.0,0.0,0.0,0.5204,0.0,-2.534735,1.0,1.0,0.047381,0.013636,0.047381,0.013636,-1.6198
breakout,DEMO4USDT,2025-12-21T20:00:00+00:00,-0.6288,1,0.01713,0.0,0.0,0.0,0.5204,0.0,-2.534735,1.0,1.0,0.047381,0.013636,0.047381,0.013636,-1.5809
meanrev,DEMO4USDT,2025-12-22T00:00:00+00:00,-1.033,1,0.0093,0.0,0.0,0.0,0.230398,0.0,-0.80835,1.0,1.0,0.036874,0.004545,0.036874,0.004545,-0.2778
meanrev,DEMO0USDT,2025-12-22T00:00:00+00:00,2.2103,1,0.02532,0.0,0.0,0.0,0.230398,0.0,-0.80835,1.0,1.0,0.036874,0.004545,0.036874,0.004545,0.7085
meanrev,DEMO39USDT,2025-12-22T00:00:00+00:00,0.3087,1,0.02073,0.0,0.0,0.0,0.230398,0.0,-0.80835,1.0,1.0,0.036874,0.004545,0.036874,0.004545,-0.2195
reversal,DEMO24USDT,2025-12-22T04:00:00+00:00,-0.0621,1,0.005,0.0,0.0,0.0,0.145332,0.0,-1.144266,1.0,1.0,0.021464,0.009091,0.021464,0.009091,1.2523
reversal,DEMO0USDT,2025-12-22T04:00:00+00:00,0.0178,1,0.01468,0.0,0.0,0.0,0.145332,0.0,-1.144266,1.0,1.0,0.021464,0.009091,0.021464,0.009091,1.5177
reversal,DEMO20USDT,2025-12-22T12:00:00+00:00,-0.1304,1,0.0247,0.0,0.0,0.0,0.86029,0.0,-1.684253,1.0,1.0,0.019681,0.013636,0.019681,0.013636,1.0534
reversal,DEMO25USDT,2025-12-22T12:00:00+00:00,-0.0055,1,0.01467,0.0,0.0,0.0,0.86029,0.0,-1.684253,1.0,1.0,0.019681,0.013636,0.019681,0.013636,0.1774
reversal,DEMO30USDT,2025-12-22T12:00:00+00:00,1.3807,1,0.04936,0.0,0.0,0.0,0.86029,0.0,-1.684253,1.0,1.0,0.019681,0.013636,0.019681,0.013636,1.1549
meanrev,DEMO27USDT,2025-12-22T12:00:00+00:00,2.1531,1,0.01404,0.0,0.0,0.0,0.86029,0.0,-1.684253,1.0,1.0,0.019681,0.013636,0.019681,0.013636,0.3205
meanrev,DEMO3USDT,2025-12-22T12:00:00+00:00,-1.5056,1,0.01028,0.0,0.0,0.0,0.86029,0.0,-1.684253,1.0,1.0,0.019681,0.013636,0.019681,0.013636,-1.2376
breakout,DEMO33USDT,2025-12-22T12:00:00+00:00,0.9312,1,0.0092,0.0,0.0,0.0,0.86029,0.0,-1.684253,1.0,1.0,0.019681,0.013636,0.019681,0.013636,-2.9647
reversal,DEMO0USDT,2025-12-22T16:00:00+00:00,-1.1472,1,0.0242,1.0,1.0,0.0,0.988829,0.0,0.422187,1.0,1.0,0.02005,0.009091,0.02005,0.009091,-0.8111
reversal,DEMO28USDT,2025-12-22T16:00:00+00:00,1.1498,1,0.03307,1.0,1.0,0.0,0.988829,0.0,0.422187,1.0,1.0,0.02005,0.009091,0.02005,0.009091,2.4855
reversal,DEMO7USDT,2025-12-22T16:00:00+00:00,1.342,1,0.04035,1.0,1.0,0.0,0.988829,0.0,0.422187,1.0,1.0,0.02005,0.009091,0.02005,0.009091,-0.701
reversal,DEMO15USDT,2025-12-22T16:00:00+00:00,-0.2937,1,0.02151,1.0,1.0,0.0,0.988829,0.0,0.422187,1.0,1.0,0.02005,0.009091,0.02005,0.009091,0.6914
meanrev,DEMO36USDT,2025-12-22T16:00:00+00:00,1.295,1,0.01672,1.0,1.0,0.0,0.988829,0.0,0.422187,1.0,1.0,0.02005,0.009091,0.02005,0.009091,-0.7884
meanrev,DEMO5USDT,2025-12-22T16:00:00+00:00,1.1484,1,0.0118,1.0,1.0,0.0,0.988829,0.0,0.422187,1.0,1.0,0.02005,0.009091,0.02005,0.009091,0.5941
breakout,DEMO22USDT,2025-12-22T16:00:00+00:00,-0.4118,1,0.02925,1.0,1.0,0.0,0.988829,0.0,0.422187,1.0,1.0,0.02005,0.009091,0.02005,0.009091,1.2288
reversal,DEMO17USDT,2025-12-22T20:00:00+00:00,-0.0059,1,0.00789,1.0,1.0,1.0,1.565543,1.0,1.711463,1.0,0.0,0.002258,0.070455,0.002258,0.070455,-0.2137
breakout,DEMO17USDT,2025-12-22T20:00:00+00:00,0.1157,1,0.03902,1.0,1.0,1.0,1.565543,1.0,1.711463,1.0,0.0,0.002258,0.070455,0.002258,0.070455,1.7713
meanrev,DEMO33USDT,2025-12-23T00:00:00+00:00,-0.2659,1,0.02892,0.0,0.0,1.0,0.185744,0.0,-1.194094,1.0,1.0,0.005465,0.015909,0.005465,0.015909,0.8903
meanrev,DEMO33USDT,2025-12-23T00:00:00+00:00,-1.0389,1,0.02561,0.0,0.0,1.0,0.185744,0.0,-1.194094,1.0,1.0,0.005465,0.015909,0.005465,0.015909,0.4251
meanrev,DEMO35USDT,2025-12-23T00:00:00+00:00,-0.1518,1,0.03563,0.0,0.0,1.0,0.185744,0.0,-1.194094,1.0,1.0,0.005465,0.015909,0.005465,0.015909,-0.5417
meanrev,DEMO20USDT,2025-12-23T00:00:00+00:00,0.7722,1,0.03996,0.0,0.0,1.0,0.185744,0.0,-1.194094,1.0,1.0,0.005465,0.015909,0.005465,0.015909,0.7303
breakout,DEMO4USDT,2025-12-23T00:00:00+00:00,0.8654,1,0.02948,0.0,0.0,1.0,0.185744,0.0,-1.194094,1.0,1.0,0.005465,0.015909,0.005465,0.015909,-1.4438
breakout,DEMO3USDT,2025-12-23T00:00:00+00:00,-0.7832,1,0.01283,0.0,0.0,1.0,0.185744,0.0,-1.194094,1.0,1.0,0.005465,0.015909,0.005465,0.015909,1.6401
reversal,DEMO15USDT,2025-12-23T04:00:00+00:00,-1.5154,1,0.03156,1.0,1.0,1.0,1.109302,1.0,0.963435,0.0,0.0,-0.000421,0.045455,-0.000421,0.045455,-1.0286
meanrev,DEMO15USDT,2025-12-23T04:00:00+00:00,-0.1377,1,0.02473,1.0,1.0,1.0,1.109302,1.0,0.963435,0.0,0.0,-0.000421,0.045455,-0.000421,0.045455,-0.3164
breakout,DEMO33USDT,2025-12-23T04:00:00+00:00,-2.0402,1,0.02513,1.0,1.0,1.0,1.109302,1.0,0.963435,0.0,0.0,-0.000421,0.045455,-0.000421,0.045455,-0.0974
breakout,DEMO17USDT,2025-12-23T04:00:00+00:00,-0.6065,1,0.02063,1.0,1.0,1.0,1.109302,1.0,0.963435,0.0,0.0,-0.000421,0.045455,-0.000421,0.045455,0.6624
reversal,DEMO1USDT,2025-12-23T08:00:00+00:00,0.443,1,0.01444,1.0,1.0,1.0,1.884235,1.0,1.823887,0.0,0.0,-0.00803,0.102273,-0.00803,0.102273,0.5102
meanrev,DEMO30USDT,2025-12-23T08:00:00+00:00,-0.9107,1,0.0561,1.0,1.0,1.0,1.884235,1.0,1.823887,0.0,0.0,-0.00803,0.102273,-0.00803,0.102273,1.3432
